game_week,my_points,average_points,highest_points,total_points,delta_vs_avg,delta_vs_highest,timestamp
1,61,54,127,61,7,-66,2026-02-22T04:18:27.986359+00:00
2,36,51,140,97,-15,-104,2026-02-22T04:18:28.375398+00:00
3,60,48,118,157,12,-58,2026-02-22T04:18:28.670825+00:00
4,58,63,139,215,-5,-81,2026-02-22T04:18:29.259084+00:00
5,64,42,112,275,22,-48,2026-02-22T04:18:29.653777+00:00
6,75,46,124,350,29,-49,2026-02-22T04:18:29.999397+00:00
7,72,60,135,422,12,-63,2026-02-22T04:18:30.292807+00:00
8,76,56,138,494,20,-62,2026-02-22T04:18:30.574123+00:00
9,39,46,124,533,-7,-85,2026-02-22T04:18:30.940685+00:00
10,61,65,135,590,-4,-74,2026-02-22T04:18:31.250814+00:00
11,45,38,120,631,7,-75,2026-02-22T04:18:31.577444+00:00
12,42,39,134,673,3,-92,2026-02-22T04:18:31.870737+00:00
13,26,35,123,699,-9,-97,2026-02-22T04:18:32.165651+00:00
14,82,58,138,781,24,-56,2026-02-22T04:18:32.534216+00:00
15,42,49,133,823,-7,-91,2026-02-22T04:18:32.834768+00:00
16,65,60,149,888,5,-84,2026-02-22T04:18:33.151828+00:00
17,79,66,148,967,13,-69,2026-02-22T04:18:33.441581+00:00
18,48,44,118,1015,4,-70,2026-02-22T04:18:33.730079+00:00
19,40,40,112,1055,0,-72,2026-02-22T04:18:34.098004+00:00
20,43,42,117,1098,1,-74,2026-02-22T04:18:34.401765+00:00
21,58,48,118,1156,10,-60,2026-02-22T04:18:34.715458+00:00
22,32,40,111,1184,-8,-79,2026-02-22T04:18:35.017212+00:00
23,42,44,115,1222,-2,-73,2026-02-22T04:18:35.314525+00:00
24,55,55,126,1269,0,-71,2026-02-22T04:18:35.680639+00:00
25,76,58,147,1345,18,-71,2026-02-22T04:18:35.974852+00:00
26,74,58,138,1419,16,-64,2026-02-24T05:07:37.810598+00:00
27,45,45,117,1460,0,-72,2026-02-25T07:23:58.653719+00:00
28,70,53,125,1530,17,-55,2026-03-02T05:51:06.365618+00:00
